type,artist,album,date,name,id,duration,popularity,url,venue,city,min_price,max_price,days_to_event,hype_score,sellout_risk,description
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,146436.0,62.0,https://open.spotify.com/track/5QUIK7ZtziW8kGWo8RqopF,,,,,,,,
track,Taylor swift,1989 (Taylor's Version) [Deluxe],2023-10-27,Suburban Legends (Taylor's Version) (From The Vault),6M9ppdfFjR1AbpUl3Y8DcV,171818.0,59.0,https://open.spotify.com/track/6M9ppdfFjR1AbpUl3Y8DcV,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,212600.0,65.0,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,231833.0,71.0,https://open.spotify.com/track/45wMBGri1PORPjM9PwFfrS,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,231000.0,74.0,https://open.spotify.com/track/1hjRhYpWyqDpPahmSlUTlc,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,235800.0,70.0,https://open.spotify.com/track/045ZeOHPIzhxxsm8bq5kyE,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,All You Had To Do Was Stay (Taylor's Version),6GXgd1BPD9bUpqw5AntGV5,193289.0,65.0,https://open.spotify.com/track/6GXgd1BPD9bUpqw5AntGV5,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Shake It Off (Taylor's Version),3pv7Q5v2dpdefwdWIvE7yH,219209.0,68.0,https://open.spotify.com/track/3pv7Q5v2dpdefwdWIvE7yH,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,I Wish You Would (Taylor's Version),43y1WpBdnEy5TR9aZoSQL9,207650.0,63.0,https://open.spotify.com/track/43y1WpBdnEy5TR9aZoSQL9,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Bad Blood (Taylor's Version),64FzgoLZ3oXu2SriZblHic,211103.0,64.0,https://open.spotify.com/track/64FzgoLZ3oXu2SriZblHic,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,220433.0,75.0,https://open.spotify.com/track/1K39ty6o1sHwwlZwO6a7wK,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,How You Get The Girl (Taylor's Version),75W3SngKzTuoQ94uLf3y82,247533.0,64.0,https://open.spotify.com/track/75W3SngKzTuoQ94uLf3y82,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,This Love (Taylor’s Version),5QVVjX0ZItqlVpEuVCM9Yg,250100.0,70.0,https://open.spotify.com/track/5QVVjX0ZItqlVpEuVCM9Yg,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,I Know Places (Taylor's Version),2f0GI2ZLUtbGqFx8t2Gk6A,195700.0,62.0,https://open.spotify.com/track/2f0GI2ZLUtbGqFx8t2Gk6A,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Clean (Taylor's Version),2ByBBvpR9b7IynvRmnG7kG,271000.0,70.0,https://open.spotify.com/track/2ByBBvpR9b7IynvRmnG7kG,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Wonderland (Taylor's Version),2ve0kuaWUCt4Zx8x4bf1MR,245566.0,64.0,https://open.spotify.com/track/2ve0kuaWUCt4Zx8x4bf1MR,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,You Are In Love (Taylor's Version),4UwqOWDpdeIDVQDuKT6iza,267389.0,69.0,https://open.spotify.com/track/4UwqOWDpdeIDVQDuKT6iza,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,New Romantics (Taylor's Version),2vPMoMDXxu9uX1igWZmXSG,230177.0,68.0,https://open.spotify.com/track/2vPMoMDXxu9uX1igWZmXSG,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,180381.0,73.0,https://open.spotify.com/track/71BqAINEnezjQfxE4VuJfq,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,279833.0,69.0,https://open.spotify.com/track/4NioO5R9sHEZh4cGzMHyNt,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,146436.0,72.0,https://open.spotify.com/track/5KD6AEm19QnMbfWpfoOHMl,,,,,,,,
track,Taylor swift,1989 (Taylor's Version),2023-10-26,Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,171818.0,65.0,https://open.spotify.com/track/6T0sEnqjmHISIKwFETeeiP,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Mine (Taylor's Version),7G0gBu6nLdhFDPRLc0HdDG,231706.0,73.0,https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Sparks Fly (Taylor’s Version),3MytWN8L7shNYzGl4tAKRp,261230.0,69.0,https://open.spotify.com/track/3MytWN8L7shNYzGl4tAKRp,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,294189.0,72.0,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Speak Now (Taylor's Version),5xXqyjLicvEpch72qEryFT,242473.0,66.0,https://open.spotify.com/track/5xXqyjLicvEpch72qEryFT,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Dear John (Taylor's Version),1zU8j1x3yi9xalMF96pzKp,405906.0,65.0,https://open.spotify.com/track/1zU8j1x3yi9xalMF96pzKp,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Mean (Taylor's Version),30Y4CV7A6YqtQtTTo7Ue4j,238693.0,64.0,https://open.spotify.com/track/30Y4CV7A6YqtQtTTo7Ue4j,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,The Story Of Us (Taylor's Version),6dTA6y0C2ReQklntzZl8l3,267653.0,67.0,https://open.spotify.com/track/6dTA6y0C2ReQklntzZl8l3,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Never Grow Up (Taylor's Version),2EFZ9emtKWEglWUQGEQ3P9,292920.0,64.0,https://open.spotify.com/track/2EFZ9emtKWEglWUQGEQ3P9,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,353253.0,78.0,https://open.spotify.com/track/3sW3oSbzsfecv9XoUdGs7h,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Better Than Revenge (Taylor's Version),0NwGC0v03ysCYINtg6ns58,220306.0,66.0,https://open.spotify.com/track/0NwGC0v03ysCYINtg6ns58,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Innocent (Taylor's Version),12nBPF4Rh4XLFJV0YLN7uj,301221.0,60.0,https://open.spotify.com/track/12nBPF4Rh4XLFJV0YLN7uj,,,,,,,,
track,Taylor swift,Speak Now (Taylor's Version),2023-07-07,Haunted (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,245413.0,66.0,https://open.spotify.com/track/4tMzIAFTFdqGBQLdfbPces,,,,,,,,
