record_type,artist,spotify_artist_id,album_id,album_name,album_release_date,track_id,track_name,track_number,disc_number,explicit,duration_ms,popularity,spotify_url,tm_event_name,tm_event_datetime,tm_venue,tm_city,tm_state,tm_country,tm_min_price,tm_max_price,tm_currency,tm_url,tm_attraction_id
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,6RSG1dKPV5gEvILwJb4QtS,loml,12,1,True,277156,71,https://open.spotify.com/track/6RSG1dKPV5gEvILwJb4QtS,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,13,1,True,218004,78,https://open.spotify.com/track/4q5YezDOIPcoLr8R81x9qy,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,2v1ivOOsgn64g5OywuH55L,The Smallest Man Who Ever Lived,14,1,True,245541,66,https://open.spotify.com/track/2v1ivOOsgn64g5OywuH55L,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,1dhMTsEZz6ZEquGvmzVoHn,The Alchemy,15,1,False,196900,66,https://open.spotify.com/track/1dhMTsEZz6ZEquGvmzVoHn,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,1UlhrRvYzbHEyugEDspXUB,Clara Bow,16,1,False,216662,58,https://open.spotify.com/track/1UlhrRvYzbHEyugEDspXUB,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1,1,False,212600,59,https://open.spotify.com/track/4WUepByoeqcedHoYhSNHRt,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),2,1,False,231833,62,https://open.spotify.com/track/0108kcWLnn2HlH2kedi1gn,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),3,1,False,231000,62,https://open.spotify.com/track/3Vpk1hfMAQme8VJ0SNRSkd,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,1OcSfkeCg9hRC2sFKB4IMJ,Out Of The Woods (Taylor's Version),4,1,False,235800,61,https://open.spotify.com/track/1OcSfkeCg9hRC2sFKB4IMJ,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,2k0ZEeAqzvYMcx9Qt5aClQ,All You Had To Do Was Stay (Taylor's Version),5,1,False,193289,60,https://open.spotify.com/track/2k0ZEeAqzvYMcx9Qt5aClQ,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,50yNTF0Od55qnHLxYsA5Pw,Shake It Off (Taylor's Version),6,1,False,219209,59,https://open.spotify.com/track/50yNTF0Od55qnHLxYsA5Pw,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,3FxJDucHWdw6caWTKO5b23,I Wish You Would (Taylor's Version),7,1,False,207650,59,https://open.spotify.com/track/3FxJDucHWdw6caWTKO5b23,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,7oZONwFiFIErZcXAtTu7FY,Bad Blood (Taylor's Version),8,1,False,211103,58,https://open.spotify.com/track/7oZONwFiFIErZcXAtTu7FY,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,1o59UpKw81iHR0HPiSkJR0,1989 (Taylor's Version) [Deluxe],2023-10-27,27exgla7YBw9DUNNcTIpjy,Wildest Dreams (Taylor's Version),9,1,False,220433,60,https://open.spotify.com/track/27exgla7YBw9DUNNcTIpjy,,,,,,,,,,,
